"F","P","S","replicate_no","space_replicate","t","tc","dyad_mean_leave_size","dyad_sd_ls","dyad_cv_ls","dyad_mean_leave_times","hyp_mean_leave_size","hyp_sd_ls","hyp_cv_ls","hyp_mean_leave_times","comb_leave_size","fam_combo","replicate_unique"
2,21,2,1,4,0.15,0.2,2.91666666666667,1.78164037455442,0.610848128418659,44.5,17.5,14.8492424049175,0.848528137423857,7.5,14.5833333333333,"2_21_2","2_21_2_0.15_0.2_1"
2,21,2,1,4,0.15,0.25,11.6666666666667,15.467708298258,1.32580356842212,105.444444444444,26,8.48528137423857,0.326356975932253,10.5,14.3333333333333,"2_21_2","2_21_2_0.15_0.25_1"
2,21,2,1,5,0.05,0.1,2.72727272727273,1.55505042303516,0.570185155112891,439.727272727273,2.5,1.44599761096244,0.578399044384977,139.916666666667,-0.227272727272727,"2_21_2","2_21_2_0.05_0.1_1"
2,21,2,1,5,0.05,0.2,3.83870967741935,3.12086285283999,0.812997886033947,505.290322580645,8.25,4.7169905660283,0.571756432245855,81.5,4.41129032258065,"2_21_2","2_21_2_0.05_0.2_1"
2,21,2,1,5,0.05,0.25,4.25,4.55928032007652,1.072771840018,308.892857142857,17,2.82842712474619,0.166378066161541,22.5,12.75,"2_21_2","2_21_2_0.05_0.25_1"
2,21,2,1,5,0.1,0.1,2.2,1.09544511501033,0.497929597731969,530,3.44444444444444,2.69773567603977,0.783213583366386,114.333333333333,1.24444444444444,"2_21_2","2_21_2_0.1_0.1_1"
2,21,2,1,5,0.1,0.2,8.46153846153846,17.3906842141388,2.05526267985277,294.615384615385,10,9.8488578017961,0.98488578017961,10,1.53846153846154,"2_21_2","2_21_2_0.1_0.2_1"
2,21,2,1,5,0.1,0.25,3.94594594594595,3.64345643239696,0.923341698621147,285.243243243243,16,21.2132034355964,1.32582521472478,10.5,12.0540540540541,"2_21_2","2_21_2_0.1_0.25_1"
2,21,2,1,5,0.15,0.1,3.4,2.17050941281329,0.638385121415675,127.1,5.66666666666667,5.35412613473634,0.944845788482883,24.8333333333333,2.26666666666667,"2_21_2","2_21_2_0.15_0.1_1"
2,21,2,1,5,0.15,0.2,3.5,3.34165627596057,0.954758935988734,60.5,8.75,7.18215380880508,0.820817578149152,6.5,5.25,"2_21_2","2_21_2_0.15_0.2_1"
2,21,2,1,5,0.15,0.25,10.5,15.8342105020182,1.50802004781125,90.5,32,0,0,12,21.5,"2_21_2","2_21_2_0.15_0.25_1"
2,21,2,2,1,0.05,0.1,2.53846153846154,1.50639661750509,0.593428970532307,255.615384615385,2.75,1.6583123951777,0.603022689155527,196.416666666667,0.211538461538462,"2_21_2","2_21_2_0.05_0.1_2"
2,21,2,2,1,0.05,0.2,5.20833333333333,8.01074911910711,1.53806383086857,272.541666666667,5.66666666666667,4.63321342770508,0.817625899006779,13.5,0.458333333333334,"2_21_2","2_21_2_0.05_0.2_2"
2,21,2,2,1,0.05,0.25,6.5,8.67947771086102,1.33530426320939,263.75,6.4,3.50713558335004,0.547989934898443,13.2,-0.0999999999999996,"2_21_2","2_21_2_0.05_0.25_2"
2,21,2,2,1,0.1,0.1,2.45454545454545,1.57249078621379,0.640644394383397,336.636363636364,3.85714285714286,4.22013315068658,1.09410859462245,21.5714285714286,1.4025974025974,"2_21_2","2_21_2_0.1_0.1_2"
2,21,2,2,1,0.1,0.2,4.12,5.11794229484207,1.24221900360244,289.84,10.6666666666667,11.5902257671425,1.08658366566961,14,6.54666666666667,"2_21_2","2_21_2_0.1_0.2_2"
2,21,2,2,1,0.1,0.25,6.5,9.53939201416946,1.46759877141069,297.9,10.3333333333333,15.3079500042734,1.48141451654259,14,3.83333333333333,"2_21_2","2_21_2_0.1_0.25_2"
2,21,2,2,1,0.15,0.1,2.5,2.5038431998092,1.00153727992368,272,5.75,8.9880873541435,1.56314562680756,39.5,3.25,"2_21_2","2_21_2_0.15_0.1_2"
2,21,2,2,1,0.15,0.2,3.81818181818182,2.73663616309832,0.716738042716226,66.3181818181818,10.3333333333333,10.0664459136943,0.974172185196226,9,6.51515151515152,"2_21_2","2_21_2_0.15_0.2_2"
2,21,2,2,1,0.15,0.25,9,13.0732203725437,1.45258004139374,145,14,12.3558353285671,0.882559666326221,28,5,"2_21_2","2_21_2_0.15_0.25_2"
2,21,2,2,2,0.05,0.1,2.72727272727273,1.34839972492648,0.494413232473044,138.727272727273,2.38461538461538,1.70970082853022,0.716971315190092,180.769230769231,-0.342657342657342,"2_21_2","2_21_2_0.05_0.1_2"
2,21,2,2,2,0.05,0.2,6.66666666666667,9.5732470365874,1.43598705548811,316.111111111111,5.66666666666667,3.61478445646026,0.637903139375339,14.6666666666667,-1,"2_21_2","2_21_2_0.05_0.2_2"
2,21,2,2,2,0.05,0.25,7.5,10.7970793771706,1.43961058362275,284.5,16,21.2132034355964,1.32582521472478,15.5,8.5,"2_21_2","2_21_2_0.05_0.25_2"
2,21,2,2,2,0.1,0.1,2.16666666666667,1.33944676902773,0.618206201089721,245.722222222222,4.71428571428571,4.57217255850672,0.969854785137789,14.2857142857143,2.54761904761905,"2_21_2","2_21_2_0.1_0.1_2"
2,21,2,2,2,0.1,0.2,4.24,5.34852004452322,1.26144340672717,291.64,35,0,0,7,30.76,"2_21_2","2_21_2_0.1_0.2_2"
2,21,2,2,2,0.1,0.25,7.22222222222222,9.44678940515557,1.30801699456,332.055555555556,10.3333333333333,6.02771377334171,0.583327139355649,17,3.11111111111111,"2_21_2","2_21_2_0.1_0.25_2"
2,21,2,2,2,0.15,0.1,2.5,1.08711461300922,0.434845845203687,147.416666666667,5.22222222222222,4.29469957557504,0.822389280429263,104.111111111111,2.72222222222222,"2_21_2","2_21_2_0.15_0.1_2"
2,21,2,2,2,0.15,0.2,7.71428571428571,8.13867896148357,1.05501393945157,66.7142857142857,32,0,0,11,24.2857142857143,"2_21_2","2_21_2_0.15_0.2_2"
2,21,2,2,2,0.15,0.25,9.90909090909091,13.4718561858012,1.35954511966801,149.090909090909,14.6666666666667,12.6596471778113,0.863157762123501,20.5,4.75757575757576,"2_21_2","2_21_2_0.15_0.25_2"
2,21,2,2,3,0.05,0.1,2.45454545454545,1.6348477827392,0.666049096671525,453.727272727273,2.15384615384615,1.40511884705849,0.652376607562869,389.769230769231,-0.300699300699301,"2_21_2","2_21_2_0.05_0.1_2"
2,21,2,2,3,0.05,0.2,6.31578947368421,8.86975279361736,1.40437752565608,309.421052631579,3.77777777777778,3.56292638773866,0.943127573224939,95.1111111111111,-2.53801169590643,"2_21_2","2_21_2_0.05_0.2_2"
2,21,2,2,3,0.05,0.25,8,10.8781125813871,1.35976407267339,288.230769230769,10.6666666666667,11.5470053837925,1.08253175473055,16.3333333333333,2.66666666666667,"2_21_2","2_21_2_0.05_0.25_2"
2,21,2,2,3,0.1,0.1,2.4375,1.36473440639562,0.559891038521279,242.6875,8.5,7.50555349946513,0.883006294054722,14.5,6.0625,"2_21_2","2_21_2_0.1_0.1_2"
2,21,2,2,3,0.1,0.2,12.375,21.8431911588028,1.76510635626689,266.25,5.83333333333333,5.84522597225006,1.00203873810001,201,-6.54166666666667,"2_21_2","2_21_2_0.1_0.2_2"
2,21,2,2,3,0.1,0.25,6.75,8.57321409974112,1.27010579255424,259,10.6666666666667,7.57187779440036,0.709863543225034,10,3.91666666666667,"2_21_2","2_21_2_0.1_0.25_2"
2,21,2,2,3,0.15,0.1,2.23076923076923,1.53589529557661,0.688504787672273,202.230769230769,3.5,3.62530786869986,1.03580224819996,13.75,1.26923076923077,"2_21_2","2_21_2_0.15_0.1_2"
2,21,2,2,3,0.15,0.2,7.25,7.79651936993132,1.07538198205949,51.75,12,17.3493515728975,1.44577929774146,10,4.75,"2_21_2","2_21_2_0.15_0.2_2"
2,21,2,2,3,0.15,0.25,9.81818181818182,14.6206578635722,1.48914107869717,154.636363636364,32,0,0,7,22.1818181818182,"2_21_2","2_21_2_0.15_0.25_2"
2,21,2,2,4,0.05,0.1,2.5,2.59272486435067,1.03708994574027,84,2.27272727272727,1.27207775634268,0.559714212790778,176,-0.227272727272727,"2_21_2","2_21_2_0.05_0.1_2"
2,21,2,2,4,0.05,0.2,5.41176470588235,9.16555251696135,1.69363470422112,325.529411764706,4.71428571428571,2.9277002188456,0.621027319149067,53.2857142857143,-0.697478991596639,"2_21_2","2_21_2_0.05_0.2_2"
2,21,2,2,4,0.05,0.25,8.05882352941176,10.3710570111928,1.28691948314072,230.411764705882,6.6,7.82943165242535,1.18627752309475,36,-1.45882352941176,"2_21_2","2_21_2_0.05_0.25_2"
2,21,2,2,4,0.1,0.1,2.77777777777778,2.48886408717801,0.895991071384085,172.666666666667,5.4,5.59464029227975,1.03604449857032,27.4,2.62222222222222,"2_21_2","2_21_2_0.1_0.1_2"
2,21,2,2,4,0.1,0.2,11.2222222222222,20.6505313356447,1.84014635664161,243.222222222222,5.16666666666667,4.91596040125088,0.951476206693718,38.8333333333333,-6.05555555555555,"2_21_2","2_21_2_0.1_0.2_2"
2,21,2,2,4,0.1,0.25,5.95454545454545,8.7094763536609,1.46266015099649,288,10.6666666666667,12.6622799421484,1.18708874457641,16,4.71212121212121,"2_21_2","2_21_2_0.1_0.25_2"
2,21,2,2,4,0.15,0.1,2.13333333333333,1.24594580635795,0.584037096730287,177.4,4,4.34248118673448,1.08562029668362,11.5,1.86666666666667,"2_21_2","2_21_2_0.15_0.1_2"
2,21,2,2,4,0.15,0.2,6.75,7.30459737816828,1.08216257454345,54.375,18,15.556349186104,0.864241621450225,44.5,11.25,"2_21_2","2_21_2_0.15_0.2_2"
2,21,2,2,4,0.15,0.25,9.08333333333333,13.3855983214888,1.47364385190702,139.5,33,0,0,12,23.9166666666667,"2_21_2","2_21_2_0.15_0.25_2"
2,21,2,2,5,0.05,0.1,3,1.87082869338697,0.623609564462324,123.777777777778,3.11111111111111,1.90029237516523,0.610808263445967,33.7777777777778,0.111111111111111,"2_21_2","2_21_2_0.05_0.1_2"
2,21,2,2,5,0.05,0.2,6.13333333333333,9.85514127366064,1.60681651200989,317.4,10.6666666666667,7.57187779440036,0.709863543225034,26,4.53333333333333,"2_21_2","2_21_2_0.05_0.2_2"
2,21,2,2,5,0.05,0.25,9.5,10.4715732415834,1.1022708675351,272.857142857143,8,7.6594168620507,0.957427107756338,23.5,-1.5,"2_21_2","2_21_2_0.05_0.25_2"
2,21,2,2,5,0.1,0.1,2.35714285714286,1.864945569721,0.791189029578605,176.357142857143,6.6,7.63544366752843,1.15688540417097,14.2,4.24285714285714,"2_21_2","2_21_2_0.1_0.1_2"
2,21,2,2,5,0.1,0.2,16.5,24.4928561013206,1.48441552129216,159.666666666667,33,0,0,12,16.5,"2_21_2","2_21_2_0.1_0.2_2"
2,21,2,2,5,0.1,0.25,5.32258064516129,7.40894547950513,1.39198369614945,216.903225806452,16.5,6.36396103067893,0.385694607919935,16,11.1774193548387,"2_21_2","2_21_2_0.1_0.25_2"
2,21,2,2,5,0.15,0.1,2.90909090909091,2.30019761996857,0.790692931864197,141.545454545455,3.2,2.57336787541584,0.804177461067449,33.2,0.290909090909091,"2_21_2","2_21_2_0.15_0.1_2"
2,21,2,2,5,0.15,0.2,4.25,4.55521678957215,1.07181571519345,106.166666666667,8.5,7.04745817062199,0.829112725955528,17.5,4.25,"2_21_2","2_21_2_0.15_0.2_2"
2,21,2,2,5,0.15,0.25,10.9,14.3019035252111,1.31210124084505,166.3,33,0,0,9,22.1,"2_21_2","2_21_2_0.15_0.25_2"
2,21,2,3,1,0.05,0.1,2.63636363636364,1.36181696807811,0.516551263753766,191.818181818182,2.9,2.42441287279576,0.836004438895089,111.5,0.263636363636364,"2_21_2","2_21_2_0.05_0.1_3"
2,21,2,3,1,0.05,0.2,5.36363636363636,3.64067925730151,0.678770708988417,285.272727272727,3.44444444444444,2.45515331044271,0.712786444967237,35.7777777777778,-1.91919191919192,"2_21_2","2_21_2_0.05_0.2_3"
2,21,2,3,1,0.05,0.25,5.3030303030303,5.22305495187472,0.98491893378209,295.909090909091,12.3333333333333,8.62167810425171,0.699054981425814,12.6666666666667,7.03030303030303,"2_21_2","2_21_2_0.05_0.25_3"
2,21,2,3,1,0.1,0.1,2.26666666666667,1.66761877566558,0.735714165734816,170.733333333333,5.5,3.20936130717624,0.583520237668408,13.3333333333333,3.23333333333333,"2_21_2","2_21_2_0.1_0.1_3"
2,21,2,3,1,0.1,0.2,6.89473684210526,10.6191375295428,1.54018025237644,151.947368421053,17.5,20.5060966544099,1.17177695168056,4.5,10.6052631578947,"2_21_2","2_21_2_0.1_0.2_3"
2,21,2,3,1,0.1,0.25,10.2,14.6120194056506,1.43255092212261,182.5,10.6666666666667,8.32666399786453,0.7806247497998,12,0.466666666666667,"2_21_2","2_21_2_0.1_0.25_3"
2,21,2,3,1,0.15,0.1,2,1.2833778958395,0.641688947919748,268.833333333333,9.6,6.18869937870632,0.644656185281908,75.4,7.6,"2_21_2","2_21_2_0.15_0.1_3"
2,21,2,3,1,0.15,0.2,5.66666666666667,6.18465843842649,1.0914103126635,66.7777777777778,26,7.07106781186548,0.271964146610211,138,20.3333333333333,"2_21_2","2_21_2_0.15_0.2_3"
2,21,2,3,1,0.15,0.25,11.6363636363636,13.5961224418783,1.16841677234891,178.090909090909,29.5,6.36396103067893,0.215727492565387,9.5,17.8636363636364,"2_21_2","2_21_2_0.15_0.25_3"
2,21,2,3,2,0.05,0.1,2,1.10940039245046,0.554700196225229,269.928571428571,2.23076923076923,1.36344209960466,0.611198182581399,297.538461538462,0.230769230769231,"2_21_2","2_21_2_0.05_0.1_3"
2,21,2,3,2,0.05,0.2,4.21428571428571,2.72251499758733,0.646020507902077,241.214285714286,4,3.20713490294909,0.801783725737273,12.25,-0.214285714285714,"2_21_2","2_21_2_0.05_0.2_3"
2,21,2,3,2,0.05,0.25,4.44736842105263,4.21514238431597,0.947783494698265,264.289473684211,4.42857142857143,4.46680881081572,1.00863424760355,19.4285714285714,-0.018796992481203,"2_21_2","2_21_2_0.05_0.25_3"
2,21,2,3,2,0.1,0.1,2.07692307692308,1.44115338424578,0.693888666488711,190.846153846154,4.5,3.72827037646145,0.828504528102544,21.8333333333333,2.42307692307692,"2_21_2","2_21_2_0.1_0.1_3"
2,21,2,3,2,0.1,0.2,7.1875,11.3032075093754,1.57262017521744,168.625,33,0,0,6,25.8125,"2_21_2","2_21_2_0.1_0.2_3"
2,21,2,3,2,0.1,0.25,7.84615384615385,12.5023074793293,1.59343134540471,156,6.4,4.03732584763727,0.630832163693323,21.2,-1.44615384615385,"2_21_2","2_21_2_0.1_0.25_3"
2,21,2,3,2,0.15,0.1,3,2.10818510677892,0.702728368926307,158.9,6,7.54983443527075,1.25830573921179,23,3,"2_21_2","2_21_2_0.15_0.1_3"
2,21,2,3,2,0.15,0.2,6.375,7.08998287324145,1.11215417619474,108.5,26,7.07106781186548,0.271964146610211,139.5,19.625,"2_21_2","2_21_2_0.15_0.2_3"
2,21,2,3,2,0.15,0.25,11.3636363636364,14.2145891764252,1.25088384752542,177.090909090909,16,12.7279220613579,0.795495128834866,11.5,4.63636363636364,"2_21_2","2_21_2_0.15_0.25_3"
2,21,2,3,3,0.05,0.1,3,1.9436506316151,0.6478835438717,251.6,3,1.76383420737639,0.587944735792131,214.5,0,"2_21_2","2_21_2_0.05_0.1_3"
2,21,2,3,3,0.05,0.2,4.91666666666667,5.23030215246315,1.06379026829759,269.833333333333,3.55555555555556,4.0034707164881,1.12597613901228,108.111111111111,-1.36111111111111,"2_21_2","2_21_2_0.05_0.2_3"
