"F","P","S","t","tc","replicate_no","space_replicate","dyad_mean_leave_size","dyad_sd_ls","dyad_cv_ls","dyad_mean_leave_times","hyp_mean_leave_size","hyp_sd_ls","hyp_cv_ls","hyp_mean_leave_times","comb_leave_size","fam_combo","replicate_unique"
10,10,2,0.05,0.25,1,1,3.5952380952381,3.40057042424071,0.945854025285497,353.809523809524,3.46666666666667,3.88893424009837,1.12180795387453,61.0666666666667,-0.128571428571429,"10_10_2","10_10_2_0.05_0.25_1"
10,10,2,0.05,0.25,1,2,3.75,3.63564969681469,0.96950658581725,365.5,6.11111111111111,5.27836254070437,0.863732052115261,21,2.36111111111111,"10_10_2","10_10_2_0.05_0.25_1"
10,10,2,0.05,0.25,1,3,3.48837209302326,2.79772095193873,0.802013339555769,354.162790697674,3.375,2.68017412369669,0.794125666280502,38.0625,-0.113372093023256,"10_10_2","10_10_2_0.05_0.25_1"
10,10,2,0.05,0.25,1,4,3.90697674418605,3.87798397236534,0.992579231022082,348.46511627907,7.42857142857143,7.32250282478932,0.985721534106255,24.7142857142857,3.52159468438538,"10_10_2","10_10_2_0.05_0.25_1"
10,10,2,0.05,0.25,1,5,4.30769230769231,5.36633681855718,1.24575676145077,376.666666666667,13.25,19.3283039435263,1.45873992026613,20.5,8.94230769230769,"10_10_2","10_10_2_0.05_0.25_1"
10,10,2,0.05,0.25,2,1,10.5,15.2697958947285,1.45426627568843,217,9,7.37563556583431,0.819515062870479,57.6666666666667,-1.5,"10_10_2","10_10_2_0.05_0.25_2"
10,10,2,0.05,0.25,2,2,6.05555555555556,11.3473097211849,1.87386766037915,144.388888888889,4.46153846153846,3.79946015058685,0.8516031372005,26.3846153846154,-1.59401709401709,"10_10_2","10_10_2_0.05_0.25_2"
10,10,2,0.05,0.25,2,3,8.38461538461539,14.5690222821029,1.73758981346181,168.923076923077,5.7,5.20789998197183,0.913666663503831,44,-2.68461538461538,"10_10_2","10_10_2_0.05_0.25_2"
10,10,2,0.05,0.25,2,4,6.5625,12.1269328356349,1.84791357495389,143.0625,6,6.2449979983984,1.04083299973307,16.4444444444444,-0.5625,"10_10_2","10_10_2_0.05_0.25_2"
10,10,2,0.05,0.25,2,5,5.83333333333333,11.4185092258655,1.95745872443409,161.666666666667,6.25,5.94618725379069,0.95138996060651,52.75,0.416666666666667,"10_10_2","10_10_2_0.05_0.25_2"
10,10,2,0.05,0.25,3,1,4.46428571428571,3.66648628704945,0.821292928299078,192.464285714286,11.4,10.3101891350256,0.904402555704,21.8,6.93571428571429,"10_10_2","10_10_2_0.05_0.25_3"
10,10,2,0.05,0.25,3,2,3.96428571428571,3.55363291271156,0.896411905909223,198.75,5.1,7.15619389837301,1.40317527419079,39.1,1.13571428571429,"10_10_2","10_10_2_0.05_0.25_3"
10,10,2,0.05,0.25,3,3,4.54166666666667,4.52028439531107,0.995291976949226,208.333333333333,4.15384615384615,3.6019937499056,0.867146643495792,28.2307692307692,-0.387820512820513,"10_10_2","10_10_2_0.05_0.25_3"
10,10,2,0.05,0.25,3,4,4,3.86375095322815,0.965937738307037,193.551724137931,4.41666666666667,3.91868097783688,0.887248523283822,15.1666666666667,0.416666666666667,"10_10_2","10_10_2_0.05_0.25_3"
10,10,2,0.05,0.25,3,5,5.19047619047619,6.86016798350483,1.3216837399413,205.857142857143,4.8,4.18462795372672,0.871797490359734,44.3,-0.390476190476191,"10_10_2","10_10_2_0.05_0.25_3"
10,10,2,0.05,0.25,4,1,3.45161290322581,4.44101121876103,1.28664811010833,204.064516129032,5.75,5.0638776785046,0.880674378870365,33.375,2.29838709677419,"10_10_2","10_10_2_0.05_0.25_4"
10,10,2,0.05,0.25,4,2,3.59375,3.17103193745933,0.88237410433651,205.0625,4.15384615384615,4.89636180999311,1.17875376907241,40,0.560096153846154,"10_10_2","10_10_2_0.05_0.25_4"
10,10,2,0.05,0.25,4,3,3.65625,3.57057305421467,0.976566989186918,191.71875,6.22222222222222,3.49205447329283,0.561223040350633,8.66666666666667,2.56597222222222,"10_10_2","10_10_2_0.05_0.25_4"
10,10,2,0.05,0.25,4,4,3.65625,4.05295093608627,1.10849940132274,206.6875,5.44444444444444,5.36449231314369,0.985314914659046,30.1111111111111,1.78819444444444,"10_10_2","10_10_2_0.05_0.25_4"
10,10,2,0.05,0.25,4,5,4,4.20757693972477,1.05189423493119,235.571428571429,4.66666666666667,4.63844278989744,0.993952026406594,34.4166666666667,0.666666666666667,"10_10_2","10_10_2_0.05_0.25_4"
10,10,2,0.05,0.25,5,1,4.6,5.56027577253743,1.20875560272553,247.36,5.4,4.0879225911349,0.757022702062019,20.1,0.800000000000001,"10_10_2","10_10_2_0.05_0.25_5"
10,10,2,0.05,0.25,5,2,4.79166666666667,6.74362285981077,1.40736477074312,249.083333333333,6.33333333333333,5.7227615711298,0.903593932283652,13,1.54166666666667,"10_10_2","10_10_2_0.05_0.25_5"
10,10,2,0.05,0.25,5,3,5,7.12868724367831,1.42573744873566,276.304347826087,4.72727272727273,3.16515115250154,0.669551205336864,29.9090909090909,-0.272727272727272,"10_10_2","10_10_2_0.05_0.25_5"
10,10,2,0.05,0.25,5,4,6.38888888888889,9.1980745356514,1.43969862297152,288.777777777778,7.85714285714286,6.03955217513604,0.768670276835496,15.4285714285714,1.46825396825397,"10_10_2","10_10_2_0.05_0.25_5"
10,10,2,0.05,0.25,5,5,5.52380952380952,8.13399685037465,1.47253391256782,252.238095238095,7,3.89138242053607,0.555911774362295,19.75,1.47619047619048,"10_10_2","10_10_2_0.05_0.25_5"
10,10,2,0.1,0.1,1,1,2.5,1.24316312101612,0.497265248406449,184.833333333333,7,10.3537432844358,1.47910618349083,16.6666666666667,4.5,"10_10_2","10_10_2_0.1_0.1_1"
10,10,2,0.1,0.1,1,2,2.42857142857143,1.65084061171111,0.679757898939871,272.785714285714,3.16666666666667,2.62274434110301,0.828235055085162,85.6666666666667,0.738095238095238,"10_10_2","10_10_2_0.1_0.1_1"
10,10,2,0.1,0.1,1,3,2.85714285714286,2.47847879612821,0.867467578644874,135.857142857143,4.75,2.87228132326901,0.60469080489874,72.5,1.89285714285714,"10_10_2","10_10_2_0.1_0.1_1"
10,10,2,0.1,0.1,1,4,2.33333333333333,1.53392997769474,0.657398561869175,354.166666666667,8.16666666666667,8.2320511822186,1.00800626721044,6.83333333333333,5.83333333333333,"10_10_2","10_10_2_0.1_0.1_1"
10,10,2,0.1,0.1,1,5,2.375,1.99553072067128,0.840223461335278,82.125,6.33333333333333,8.38649708360608,1.32418375004307,13,3.95833333333333,"10_10_2","10_10_2_0.1_0.1_1"
10,10,2,0.1,0.1,2,1,2.66666666666667,2.01509455376319,0.755660457661195,115.666666666667,7.75,9.60468635614927,1.23931436853539,14,5.08333333333333,"10_10_2","10_10_2_0.1_0.1_2"
10,10,2,0.1,0.1,2,2,2.33333333333333,1.23669388480168,0.530011664915008,120.888888888889,7.33333333333333,6.05530070819498,0.82572282384477,5.5,5,"10_10_2","10_10_2_0.1_0.1_2"
10,10,2,0.1,0.1,2,3,2.5,1.85504082720253,0.742016330881011,224.222222222222,3.21428571428571,1.67233468441676,0.520281901818547,36.5,0.714285714285714,"10_10_2","10_10_2_0.1_0.1_2"
10,10,2,0.1,0.1,2,4,2.04347826086957,1.42950280198031,0.699543924373345,232.347826086957,6.85714285714286,9.77119186569328,1.4249654804136,8.57142857142857,4.81366459627329,"10_10_2","10_10_2_0.1_0.1_2"
10,10,2,0.1,0.1,2,5,2.18181818181818,2.08478304538394,0.95552556246764,294.136363636364,12,8.36660026534076,0.697216688778396,9.5,9.81818181818182,"10_10_2","10_10_2_0.1_0.1_2"
10,10,2,0.1,0.1,3,1,2.1,1.85292561462497,0.882345530773797,104.9,2.625,1.68501801601221,0.641911625147507,86.375,0.525,"10_10_2","10_10_2_0.1_0.1_3"
10,10,2,0.1,0.1,3,2,2.47058823529412,1.62471716995696,0.657623616411149,122.764705882353,10.5,15.0222057856583,1.43068626530079,13.5,8.02941176470588,"10_10_2","10_10_2_0.1_0.1_3"
10,10,2,0.1,0.1,3,3,2.07692307692308,1.41203617299493,0.679869268479038,300.653846153846,8.83333333333333,15.8292977313167,1.79199596958302,12.3333333333333,6.75641025641026,"10_10_2","10_10_2_0.1_0.1_3"
10,10,2,0.1,0.1,3,4,2.61111111111111,2.11823702747713,0.811239712650817,179.611111111111,15.6666666666667,13.4288247189891,0.857159024616327,8,13.0555555555556,"10_10_2","10_10_2_0.1_0.1_3"
