"F","P","S","t","tc","replicate_no","space_replicate","dyad_mean_leave_size","dyad_sd_ls","dyad_cv_ls","dyad_mean_leave_times","hyp_mean_leave_size","hyp_sd_ls","hyp_cv_ls","hyp_mean_leave_times","comb_leave_size","fam_combo","replicate_unique"
20,10,2,0.05,0.2,18,5,3.06896551724138,2.35934365090255,0.768774897485101,121.51724137931,17.8,21.2884945451763,1.19598283961664,45.4,14.7310344827586,"20_10_2","20_10_2_0.05_0.2_18"
20,10,2,0.05,0.2,19,1,4.9375,4.7394619947838,0.959891036918237,122.3125,6.66666666666667,13.1725150034134,1.97587725051201,218.916666666667,1.72916666666667,"20_10_2","20_10_2_0.05_0.2_19"
20,10,2,0.05,0.2,19,2,3.44444444444444,3.41189472888975,0.990550082580894,157.148148148148,8.45454545454546,15.1879138551918,1.79641991835602,186.090909090909,5.01010101010101,"20_10_2","20_10_2_0.05_0.2_19"
20,10,2,0.05,0.2,19,3,2.75,2.0890872921651,0.759668106241855,279.444444444444,7.33333333333333,9.02773504263389,1.23105477854099,75.7777777777778,4.58333333333333,"20_10_2","20_10_2_0.05_0.2_19"
20,10,2,0.05,0.2,19,4,3.41379310344828,3.37551309728621,0.988786664861617,240.068965517241,5.26315789473684,5.60597008418662,1.06513431599546,157.789473684211,1.84936479128857,"20_10_2","20_10_2_0.05_0.2_19"
20,10,2,0.05,0.2,19,5,2.8780487804878,2.56120208057876,0.889909197489231,320.707317073171,8.61111111111111,16.0335636524976,1.86196223061263,166.166666666667,5.73306233062331,"20_10_2","20_10_2_0.05_0.2_19"
20,10,2,0.05,0.2,2,1,3.36363636363636,2.84844455161696,0.846834866696935,252.69696969697,5.27777777777778,4.49582231640148,0.851840017844492,55.3888888888889,1.91414141414141,"20_10_2","20_10_2_0.05_0.2_2"
20,10,2,0.05,0.2,2,2,3.61538461538462,3.87893720575029,1.07289752499476,218.807692307692,6.15384615384615,10.5975323687966,1.72209900992945,196.076923076923,2.53846153846154,"20_10_2","20_10_2_0.05_0.2_2"
20,10,2,0.05,0.2,2,3,3.53333333333333,3.05956198502823,0.865913769347612,154.466666666667,15.1666666666667,15.3286224647444,1.01067840426886,106.5,11.6333333333333,"20_10_2","20_10_2_0.05_0.2_2"
20,10,2,0.05,0.2,2,4,3.04,2.42349609723914,0.797202663565506,124.76,9.5,14.8900733951947,1.5673761468626,142.75,6.46,"20_10_2","20_10_2_0.05_0.2_2"
20,10,2,0.05,0.2,2,5,3.2258064516129,2.48609033651039,0.77068800431822,125.548387096774,10.6666666666667,15.5884572681199,1.46141786888624,30.1111111111111,7.44086021505376,"20_10_2","20_10_2_0.05_0.2_2"
20,10,2,0.05,0.2,20,1,3.16216216216216,2.69272181087292,0.851544504293146,299.432432432432,6.5,4.62018980629085,0.710798431737053,137,3.33783783783784,"20_10_2","20_10_2_0.05_0.2_20"
20,10,2,0.05,0.2,20,2,3.3,2.60172356664604,0.78840108080183,219.733333333333,12.7142857142857,18.052832517496,1.41988570362328,98.7142857142857,9.41428571428571,"20_10_2","20_10_2_0.05_0.2_20"
20,10,2,0.05,0.2,20,3,3.1875,3.07369169650459,0.96429543419752,260.5625,13,21.8936824982307,1.68412942294082,28.1428571428571,9.8125,"20_10_2","20_10_2_0.05_0.2_20"
20,10,2,0.05,0.2,20,4,3.43333333333333,3.03636958058222,0.884379489489967,239.966666666667,9.2,20.3404359179771,2.21091694760621,73.7,5.76666666666667,"20_10_2","20_10_2_0.05_0.2_20"
20,10,2,0.05,0.2,20,5,3.32142857142857,2.89384495513126,0.871265147781454,208.821428571429,4.57142857142857,9.54238664366221,2.08739707830111,206.857142857143,1.25,"20_10_2","20_10_2_0.05_0.2_20"
20,10,2,0.05,0.2,21,1,3.45833333333333,1.88769854508114,0.545840543155992,75.3333333333333,41.5,51.618795026618,1.24382638618357,6.5,38.0416666666667,"20_10_2","20_10_2_0.05_0.2_21"
20,10,2,0.05,0.2,21,2,3.35714285714286,2.76505020668751,0.82363197646011,197.964285714286,8.36363636363636,20.8627549823734,2.49445983484899,343.909090909091,5.00649350649351,"20_10_2","20_10_2_0.05_0.2_21"
20,10,2,0.05,0.2,21,3,3.16666666666667,2.59877340074232,0.820665284444943,182.833333333333,5.70588235294118,11.5637618548331,2.02663867558931,215.294117647059,2.53921568627451,"20_10_2","20_10_2_0.05_0.2_21"
20,10,2,0.05,0.2,21,4,3.57692307692308,4.43777491022766,1.24066825447225,108.076923076923,9.2,18.8667844519292,2.05073744042708,143,5.62307692307692,"20_10_2","20_10_2_0.05_0.2_21"
20,10,2,0.05,0.2,21,5,3.44444444444444,2.42317867104241,0.703503485141346,276.666666666667,7.33333333333333,8.5952770681804,1.17208323657005,132,3.88888888888889,"20_10_2","20_10_2_0.05_0.2_21"
